char	fast	libc	winner
0	51.293ms	286.511ms	5.59x faster
1	52.007ms	286.531ms	5.51x faster
2	52.027ms	286.516ms	5.51x faster
3	52.008ms	286.497ms	5.51x faster
4	52.005ms	286.497ms	5.51x faster
5	52.010ms	286.477ms	5.51x faster
6	52.006ms	286.484ms	5.51x faster
7	52.000ms	286.490ms	5.51x faster
8	52.016ms	286.874ms	5.52x faster
9	52.008ms	287.221ms	5.52x faster
10	288.196ms	409.021ms	1.42x faster
11	51.286ms	286.455ms	5.59x faster
12	51.640ms	286.447ms	5.55x faster
13	341.590ms	696.122ms	2.04x faster
14	52.018ms	286.481ms	5.51x faster
15	52.018ms	286.463ms	5.51x faster
16	52.006ms	286.474ms	5.51x faster
17	52.000ms	286.469ms	5.51x faster
18	52.008ms	286.461ms	5.51x faster
19	51.997ms	286.467ms	5.51x faster
20	52.007ms	286.473ms	5.51x faster
21	52.814ms	286.485ms	5.42x faster
22	52.006ms	286.539ms	5.51x faster
23	52.013ms	286.471ms	5.51x faster
24	52.013ms	286.467ms	5.51x faster
25	52.005ms	286.518ms	5.51x faster
26	52.008ms	286.473ms	5.51x faster
27	52.012ms	286.472ms	5.51x faster
28	52.000ms	286.463ms	5.51x faster
29	52.012ms	286.482ms	5.51x faster
30	52.008ms	286.471ms	5.51x faster
31	52.008ms	286.463ms	5.51x faster
32	1467.887ms	1531.737ms	1.04x faster
33	108.857ms	568.035ms	5.22x faster
34	212.385ms	618.288ms	2.91x faster
35	51.223ms	286.803ms	5.60x faster
36	100.651ms	572.135ms	5.68x faster
37	99.189ms	568.202ms	5.73x faster
38	91.769ms	519.556ms	5.66x faster
39	138.680ms	587.506ms	4.24x faster
40	101.653ms	572.185ms	5.63x faster
41	102.912ms	572.133ms	5.56x faster
42	99.199ms	564.632ms	5.69x faster
43	51.288ms	286.473ms	5.59x faster
44	301.229ms	657.163ms	2.18x faster
45	128.392ms	584.758ms	4.55x faster
46	270.674ms	638.308ms	2.36x faster
47	100.957ms	572.995ms	5.68x faster
48	104.180ms	572.865ms	5.50x faster
49	102.124ms	573.470ms	5.62x faster
50	99.565ms	571.965ms	5.74x faster
51	99.776ms	571.550ms	5.73x faster
52	101.891ms	571.975ms	5.61x faster
53	103.358ms	573.000ms	5.54x faster
54	100.011ms	571.894ms	5.72x faster
55	101.635ms	572.314ms	5.63x faster
56	102.066ms	572.115ms	5.61x faster
57	99.399ms	572.099ms	5.76x faster
58	101.416ms	573.722ms	5.66x faster
59	102.416ms	564.886ms	5.52x faster
60	51.295ms	286.444ms	5.58x faster
61	51.289ms	286.694ms	5.59x faster
62	51.292ms	286.472ms	5.59x faster
63	119.619ms	570.683ms	4.77x faster
64	99.808ms	571.508ms	5.73x faster
65	123.156ms	581.437ms	4.72x faster
66	112.181ms	578.311ms	5.16x faster
67	110.668ms	576.062ms	5.21x faster
68	105.399ms	575.817ms	5.46x faster
69	106.510ms	576.342ms	5.41x faster
70	105.694ms	576.262ms	5.45x faster
71	108.943ms	575.791ms	5.29x faster
72	132.829ms	585.416ms	4.41x faster
73	200.998ms	612.492ms	3.05x faster
74	100.909ms	566.167ms	5.61x faster
75	100.688ms	572.290ms	5.68x faster
76	108.383ms	577.183ms	5.33x faster
77	121.448ms	580.790ms	4.78x faster
78	110.852ms	576.079ms	5.20x faster
79	111.289ms	576.248ms	5.18x faster
80	106.724ms	576.164ms	5.40x faster
81	102.058ms	569.725ms	5.58x faster
82	105.981ms	574.990ms	5.43x faster
83	120.438ms	581.587ms	4.83x faster
84	134.538ms	585.294ms	4.35x faster
85	101.556ms	573.874ms	5.65x faster
86	103.548ms	571.969ms	5.52x faster
87	122.356ms	580.797ms	4.75x faster
