char	fast	libc	winner
0	750.311ms	287.319ms	2.61x slower
1	750.679ms	287.226ms	2.61x slower
2	750.368ms	287.222ms	2.61x slower
3	749.909ms	287.326ms	2.61x slower
4	749.963ms	287.249ms	2.61x slower
5	750.778ms	287.248ms	2.61x slower
6	749.951ms	287.333ms	2.61x slower
7	749.956ms	287.229ms	2.61x slower
8	750.044ms	287.214ms	2.61x slower
9	749.931ms	287.216ms	2.61x slower
10	1300.938ms	479.164ms	2.72x slower
11	749.969ms	287.236ms	2.61x slower
12	750.167ms	287.253ms	2.61x slower
13	2076.735ms	766.357ms	2.71x slower
14	749.909ms	287.482ms	2.61x slower
15	749.935ms	287.828ms	2.61x slower
16	749.904ms	287.328ms	2.61x slower
17	750.149ms	287.222ms	2.61x slower
18	749.900ms	287.212ms	2.61x slower
19	750.633ms	287.129ms	2.61x slower
20	750.734ms	287.118ms	2.61x slower
21	750.717ms	287.116ms	2.61x slower
22	750.829ms	287.084ms	2.62x slower
23	750.775ms	287.094ms	2.62x slower
24	750.900ms	287.123ms	2.62x slower
25	750.768ms	287.111ms	2.61x slower
26	750.724ms	287.146ms	2.61x slower
27	750.787ms	287.243ms	2.61x slower
28	749.934ms	287.243ms	2.61x slower
29	749.899ms	287.232ms	2.61x slower
30	749.930ms	287.225ms	2.61x slower
31	749.892ms	287.237ms	2.61x slower
32	5421.368ms	2007.557ms	2.70x slower
33	1528.151ms	570.504ms	2.68x slower
34	1728.628ms	646.389ms	2.67x slower
35	750.573ms	287.487ms	2.61x slower
36	1521.120ms	573.451ms	2.65x slower
37	1510.709ms	569.272ms	2.65x slower
38	1364.934ms	515.820ms	2.65x slower
39	1599.381ms	595.289ms	2.69x slower
40	1536.190ms	573.767ms	2.68x slower
41	1503.366ms	574.035ms	2.62x slower
42	1478.583ms	566.365ms	2.61x slower
43	749.935ms	287.315ms	2.61x slower
44	1853.660ms	689.664ms	2.69x slower
45	1585.827ms	592.591ms	2.68x slower
46	1784.995ms	669.246ms	2.67x slower
47	1525.087ms	575.074ms	2.65x slower
48	1509.458ms	575.063ms	2.62x slower
49	1517.939ms	577.779ms	2.63x slower
50	1530.074ms	573.735ms	2.67x slower
51	1538.228ms	572.979ms	2.68x slower
52	1540.362ms	573.402ms	2.69x slower
53	1514.877ms	574.195ms	2.64x slower
54	1530.886ms	573.232ms	2.67x slower
55	1504.935ms	573.662ms	2.62x slower
56	1520.092ms	573.724ms	2.65x slower
57	1525.451ms	573.322ms	2.66x slower
58	1519.364ms	575.667ms	2.64x slower
