char	fast	libc	winner
0	21.556ms	286.600ms	13.30x faster
1	21.580ms	286.515ms	13.28x faster
2	21.550ms	286.577ms	13.30x faster
3	21.555ms	286.516ms	13.29x faster
4	21.583ms	286.635ms	13.28x faster
5	21.529ms	286.655ms	13.31x faster
6	21.606ms	286.613ms	13.27x faster
7	21.555ms	286.839ms	13.31x faster
8	21.896ms	286.493ms	13.08x faster
9	21.900ms	286.487ms	13.08x faster
10	129.458ms	410.320ms	3.17x faster
11	21.895ms	286.520ms	13.09x faster
12	21.900ms	286.555ms	13.08x faster
13	152.206ms	696.813ms	4.58x faster
14	21.891ms	286.480ms	13.09x faster
15	21.898ms	286.505ms	13.08x faster
16	21.899ms	286.483ms	13.08x faster
17	21.889ms	286.492ms	13.09x faster
18	21.894ms	286.488ms	13.09x faster
19	21.892ms	286.496ms	13.09x faster
20	21.893ms	287.131ms	13.12x faster
21	21.972ms	286.468ms	13.04x faster
22	21.892ms	286.467ms	13.09x faster
23	21.890ms	286.490ms	13.09x faster
24	21.893ms	286.470ms	13.09x faster
25	21.892ms	286.729ms	13.10x faster
26	21.905ms	286.486ms	13.08x faster
27	21.893ms	286.612ms	13.09x faster
28	21.889ms	286.502ms	13.09x faster
29	21.892ms	286.499ms	13.09x faster
30	21.896ms	286.475ms	13.08x faster
31	21.889ms	286.490ms	13.09x faster
32	547.869ms	1531.575ms	2.80x faster
33	49.619ms	567.958ms	11.45x faster
34	117.536ms	617.946ms	5.26x faster
35	21.916ms	286.709ms	13.08x faster
36	43.810ms	572.038ms	13.06x faster
37	43.627ms	567.821ms	13.02x faster
38	39.666ms	514.491ms	12.97x faster
39	67.937ms	587.492ms	8.65x faster
40	44.159ms	573.850ms	12.99x faster
41	44.472ms	572.293ms	12.87x faster
42	43.424ms	564.761ms	13.01x faster
43	21.896ms	286.497ms	13.08x faster
44	162.214ms	657.473ms	4.05x faster
45	64.645ms	585.465ms	9.06x faster
46	143.747ms	638.407ms	4.44x faster
47	44.284ms	573.142ms	12.94x faster
48	45.442ms	574.056ms	12.63x faster
49	45.898ms	573.419ms	12.49x faster
50	44.835ms	572.039ms	12.76x faster
51	44.338ms	571.946ms	12.90x faster
52	44.543ms	572.097ms	12.84x faster
53	44.344ms	572.940ms	12.92x faster
54	44.467ms	571.924ms	12.86x faster
55	44.548ms	572.317ms	12.85x faster
56	45.027ms	572.131ms	12.71x faster
57	44.358ms	572.120ms	12.90x faster
58	44.349ms	573.739ms	12.94x faster
59	46.061ms	565.264ms	12.27x faster
60	21.540ms	286.447ms	13.30x faster
61	21.533ms	286.438ms	13.30x faster
62	21.539ms	286.424ms	13.30x faster
63	55.875ms	570.555ms	10.21x faster
64	43.011ms	571.615ms	13.29x faster
65	58.552ms	581.555ms	9.93x faster
66	52.704ms	578.539ms	10.98x faster
67	49.687ms	575.960ms	11.59x faster
68	47.848ms	575.674ms	12.03x faster
69	48.034ms	575.985ms	11.99x faster
70	48.227ms	575.659ms	11.94x faster
71	48.324ms	575.891ms	11.92x faster
72	66.580ms	585.395ms	8.79x faster
73	109.261ms	612.633ms	5.61x faster
74	44.592ms	566.080ms	12.69x faster
75	45.544ms	572.360ms	12.57x faster
76	50.123ms	576.785ms	11.51x faster
77	57.605ms	580.828ms	10.08x faster
78	49.841ms	576.091ms	11.56x faster
79	50.149ms	576.212ms	11.49x faster
80	49.110ms	576.128ms	11.73x faster
81	43.980ms	569.692ms	12.95x faster
82	48.330ms	575.098ms	11.90x faster
83	58.753ms	581.574ms	9.90x faster
84	66.003ms	585.460ms	8.87x faster
85	45.734ms	573.820ms	12.55x faster
86	45.322ms	571.965ms	12.62x faster
87	58.340ms	580.840ms	9.96x faster
88	43.764ms	570.067ms	13.03x faster
89	52.633ms	575.366ms	10.93x faster
90	25.919ms	338.656ms	13.07x faster
